Project ID,Strategy Score,Risk Score,Risk - # of Vendors Contributing,Risk - Business Problem Clearly Defined,Risk - Business Processes Impacted,Risk - Impact to Key Financial Application,Risk - Level of User Change Management,Risk - Market,"Risk - New Product, Functionality or Service",Risk - Outside US or Marketing Area,Risk - Reputation or Shareholder Value Affected,Risk - Stand-Alone Project will Cost $10M,Type,Primary Support Strategy,Support for Reducing Costs,Support for Increased Productivity,Support for External Customers,Support for Internal Customers,Support for Competitive Differentiation,Mandatory?,Business Priority,Forced Rank,Risk Eval,Risk - Acceptance,Risk - Skills / Capability,Risk - Complexity,Risk - Product / Technology,Risk - Planning
AB-U38510550,59,73,High,Med,Med,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,No,,,67,Med,Med,High,Low,Med
AC-D39121594,36,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
AC-G38719560,36,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
AC-M39177596,50,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
AC-R38763567,89,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
AC-S38719561,50,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
AC-U39008592,69,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
AD-B38810574,59,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
AD-F40512198,64,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
AD-K38770570,73,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
AD-M38706559,89,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
AD-M38728564,43,80,High,Low,Low,High,High,Med,High,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Moderate,Moderate,No,,,50,Med,Low,High,High,Low
AD-W38726563,51,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
AM-A38789187,34,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
AM-F39310598,54,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Weak,Moderate,Strong,Very Strong,,,,33,Low,Low,Low,Low,Low
AM-H38761566,69,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Very Strong,Moderate,Very Strong,Mandatory,,,,33,Low,Low,Low,Low,Low
AM-J38824579,45,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
AM-M38790573,72,40,Med,Low,Low,Low,Med,-,Low,Med,-,Med,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Very Strong,Strong,Strong,Strong,,,,17,-,Low,Med,Low,Low
AM-W38845581,24,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Increased Productivity,Weak,Moderate,Weak,Weak,Weak,,,,33,Low,Low,Low,Low,Low
AN-B39116189,32,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
AN-F38687558,37,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
AN-I38597186,76,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
AN-S38831580,86,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
AN-W39043188,63,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
AS-A40695199,60,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
BM-E40946160,89,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
BM-R4054626,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM-R40910127,42,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
BP-B40911138,31,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
BP-C4063740,56,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
BP-C41061481,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
BP-S40975207,52,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
BR-B40909406,87,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
BR-D40909402,37,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
BR-D40909403,51,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
BR-D40910423,34,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
BR-D41000470,65,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
BR-E40909405,54,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
BR-E41000829,52,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
BR-M41044478,36,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
BR-O41030475,38,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
BR-S40595264,30,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
BS-C40910132,75,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
C-C42036185,32,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CC-A38993589,32,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
CD-H38818578,40,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
C-F40909760,55,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
C-I40909759,51,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
CI-U38763568,64,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
CM-240182617,76,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
CM-24043412,32,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
CM-240544664,37,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
CM-24054628,37,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CM-240658698,66,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
CM-240911815,76,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
CM-A4066541,35,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
